species,location,time,description of bird,sex,feather color,activity_period,back_color,behavior,bill_color,bill_length,bill_shape,body_color,breast_color,cap_color,cheek_color,chest_color,chin_color,collar_color,crest_color,crown_color,eye_color,face_color,feeding_behavior,flight_style,foot_color,habitat_preference,head_color,head_marking,head_ornament,height,leg_color,leg_covering,leg_length,locomotion,nape_color,neck_color,neck_length,plumage_color,plumage_finish,plumage_pattern,rump_color,shoulder_color,side_color,size,tail_color,tail_length,tail_shape,throat_color,underparts_color,underwing_color,upperparts_color,vocalization,wing_color,wingtip_color
Northern Gannet,United Kingdom,23-07-2003 11:10,"A large seabird with a white plumage, a yellow head, and a distinctive plunge-diving behavior",Unknown,White and Yellow,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,,diving,,,,white,,,,,,large,,,,,,,,,,
White Wagtail,United Kingdom,18-04-2015 13:30,"A small bird with a gray plumage, a white underbody, and a distinctive wagging tail",Unknown,Gray and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray,,,,,,small,,,,,white,,,,,
Bewick's Wren,United States,22-06-2002 15:50,A small wren with a brownish plumage and a distinctive song,Unknown,Brownish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,,,,,song,,
White-winged Dove,United States,27-09-2011 09:25,A medium-sized dove with a brownish-gray plumage and distinctive white wing patches,Unknown,Brownish-gray and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,,,,,white,
American Avocet,United States,20-05-2003 12:40,"A medium-sized wading bird with a black-and-white plumage, a distinctive upturned bill, and long, slender legs",Unknown,Black and White,,,,,,upturned,,,,,,,,,,,,,,,,,,,,,,,wading,,,,black|white,,,,,,medium,,,,,,,,,,
Purple Gallinule,United States,29-08-2010 14:35,"A medium-sized waterbird with a colorful plumage, including purple, green, and blue",Unknown,"Purple, Green, and Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue|green|purple,,,,,,medium,,,,,,,,,,
Chestnut-eared Aracari,South America,10-09-2002 16:55,"A medium-sized bird with a black plumage, a distinctive chestnut ear patch, and a colorful bill",Unknown,"Black, Chestnut, and Colorful",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,,,
Northern Flicker,United States,03-06-2011 09:55,"A medium-sized woodpecker with a brownish-plumage, a distinctive black crescent on its chest, and a loud ""wick-a-wick-a-wick-a"" call",Unknown,Brownish and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,call,,
Mountain Plover,United States,17-09-2003 12:30,A medium-sized plover with a mottled brown plumage and a distinctive white underbody,Unknown,Brown and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,mottled,,,,medium,,,,,white,,,,,
Horned Lark,United States,16-06-2010 14:50,"A small songbird with a brownish plumage, a distinctive black mask, and a horn-like projection on its head",Unknown,Brown and Black,,,,,,,,,,,,,,,,,,,,,,,mask,,,,,,,,,,brown,,,,,,small,,,,,,,,,,
Common Merganser,United States,08-08-2002 16:15,"A large diving duck with a black-and-white plumage, a slender bill, and a crested head",Male,Black and White,,,,,,slender,,,,,,,,,,,,,,,,,,crest,,,,,diving,,,,black|white,,,,,,large,,,,,,,,,,
Red-legged Seriema,South America,24-10-2010 09:55,"A large terrestrial bird with a grayish-brown plumage, long legs, and a distinctive red bill",Unknown,Grayish-brown and Red,,,,red,,,,,,,,,,,,,,,,,,,,,,,,long,,,,,gray_brown,,,,,,large,,,,,,,,,,
European Starling,United Kingdom,27-12-2003 11:40,"A medium-sized bird with a black plumage, a speckled appearance, and a melodious song",Unknown,Black and Speckled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,song,,
Black-throated Sparrow,United States,01-08-2011 13:55,A small sparrow with a grayish-brown plumage and a black throat,Male,Grayish-brown and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,small,,,,black,,,,,,
Red-shouldered Hawk,United States,26-06-2002 16:15,"A medium-sized hawk with a brown plumage, a distinctive reddish-brown shoulder patch, and a piercing call",Unknown,Brown and Reddish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,brown|red,,medium,,,,,,,,call,,
Greater Sage-Grouse,United States,17-09-2010 09:55,"A large grouse with a mottled grayish-brown plumage, a distinctive chest, and a booming display during courtship",Unknown,Grayish-brown and Chest,,,courtship_display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,mottled,,,,large,,,,,,,,,,
Reddish Egret,United States,14-07-2003 12:10,"A medium-sized heron with a grayish plumage, a rusty-red head, and a distinctive dancing behavior",Unknown,Grayish and Rusty-red,,,,,,,,,,,,,,,,,,,,,,red|rust,,,,,,,,,,,gray,,,,,,medium,,,,,,,,,,
Wood Duck,United States,11-05-2015 14:35,"A medium-sized duck with a colorful plumage, including iridescent green, purple, and white",Male,"Green, Purple, and White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green|purple|white,iridescent,,,,,medium,,,,,,,,,,
Barn Owl,United Kingdom,10-10-2002 16:55,"A medium-sized owl with a pale plumage, a heart-shaped face, and a silent flight",Unknown,Pale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
Yellow-throated Warbler,United States,19-06-2010 09:25,"A small warbler with a grayish plumage, a yellow throat, and a distinctive song",Unknown,Grayish and Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray,,,,,,small,,,,yellow,,,,song,,
Gilded Flicker,United States,14-05-2003 11:10,"A medium-sized woodpecker with a yellowish-brown plumage, a black crescent on its chest, and a distinctive ""wick-a-wick-a-wick-a"" call",Unknown,Yellowish-brown and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown|yellow,,,,,,medium,,,,,,,,call,,
Mallard,United States,22-07-2011 13:30,"A medium-sized duck with a colorful plumage, including iridescent green, blue, and white",Male,"Green, Blue, and White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue|green|white,iridescent,,,,,medium,,,,,,,,,,
Masked Booby,Galapagos Islands,29-08-2002 15:50,"A large seabird with a white plumage, a black mask, and a distinctive plunge-diving behavior",Unknown,White and Black,,,,,,,,,,,,,,,,,,,,,,,mask,,,,,,diving,,,,white,,,,,,large,,,,,,,,,,
Common Loon,United States,10-11-2010 09:55,"A large diving bird with a black-and-white plumage, a distinctive necklace-like pattern on its neck, and a haunting call",Unknown,Black and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diving,,,,black|white,,,,,,large,,,,,,,,call,,
Yellow-headed Blackbird,United States,26-04-2003 12:30,"A medium-sized blackbird with a black plumage, a bright yellow head, and a distinctive ""konk-la-ree"" call",Unknown,Black and Yellow,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,,,,,,black,,,,,,medium,,,,,,,,call,,
Collared Pratincole,Europe,09-07-2011 14:55,"A medium-sized wading bird with a brown plumage, a distinctive black collar, and a graceful flight",Unknown,Brown and Black,,,,,,,,,,,,,black,,,,,,,,,,,,,,,,wading,,,,brown,,,,,,medium,,,,,,,,,,
Yellow-chevroned Parakeet,Australia,22-06-2002 09:55,A medium-sized parakeet with a green plumage and distinctive yellow chevrons,Male,Green and Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,medium,,,,,,,,,,
Red-crowned Crane,Japan,15-08-2005 09:55,"A large crane with a white plumage, a distinctive red crown, and a graceful dance display",Unknown,White and Red,,,,,,,,,,,,,,,red,,,,,,,,,,,,,,,,,,white,,,,,,large,,,,,,,,,,
Black Skimmer,United States,10-06-2001 12:40,"A medium-sized bird with a black-and-white plumage, a distinctive orange bill, and a unique feeding behavior",Unknown,"Black, White, and Orange",,,,orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,medium,,,,,,,,,,
Red-billed Oxpecker,Africa,22-05-2012 14:10,"A small bird with a brown plumage, a red bill, and a symbiotic relationship with large mammals",Unknown,Brown and Red,,,,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,,,,,,,
Golden-crowned Kinglet,United States,05-09-2004 16:15,"A small bird with a grayish-green plumage, a distinctive golden crown, and a high-pitched song",Unknown,Grayish-green and Golden,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,gray|green,,,,,,small,,,,,,,,song,,
Wandering Albatross,Southern Ocean,30-11-2003 09:45,"A large seabird with a white plumage, a long wingspan, and a graceful flight",Unknown,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,large,,,,,,,,,,
Yellow-billed Cuckoo,United States,17-06-2019 11:40,"A medium-sized bird with a brownish plumage, a distinctive yellow bill, and a distinctive ""coo-coo-coo"" call",Unknown,Brownish and Yellow,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,call,,
Crested Caracara,United States,23-08-2002 13:55,"A medium-sized bird of prey with a black-and-white plumage, a distinctive crest, and a scavenging behavior",Unknown,Black and White,,,scavenging,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,black|white,,,,,,medium,,,,,,,,,,
White-crowned Pigeon,United States,15-04-2004 09:55,"A medium-sized pigeon with a gray plumage, a white crown, and a distinctive ""coo-woo"" call",Unknown,Gray and White,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,gray,,,,,,medium,,,,,,,,call,,
Little Egret,United Kingdom,12-08-2011 12:10,"A small heron with a white plumage, a black bill, and a distinctive ""chattering"" call",Unknown,White and Black,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,small,,,,,,,,call,,
Baltimore Oriole,United States,28-05-2003 14:35,A medium-sized songbird with a black-and-orange plumage,Male,Black and Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|orange,,,,,,medium,,,,,,,,,,
American Crow,United States,05-09-2010 16:55,A medium-sized bird with a black plumage and a distinctive cawing call,Unknown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,call,,
Black-headed Gull,United Kingdom,30-07-2002 09:25,"A small gull with a black head, a white body, and a red bill",Unknown,"Black, White, and Red",,,,red,,,white,,,,,,,,,,,,,,,black,,,,,,,,,,,,,,,,,small,,,,,,,,,,
Great Kiskadee,Central America,15-05-2011 11:40,"A medium-sized bird with a brownish plumage, a yellow belly, and a distinctive ""kis-ka-dee"" call",Unknown,Brownish and Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,yellow,,,call,,
Alder Flycatcher,United States,18-04-2004 13:30,"A small songbird with a brownish plumage and a distinctive ""fee-bee-o"" call",Unknown,Brownish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,,,,,call,,
Northern Saw-whet Owl,United States,20-07-2010 16:55,"A small owl with a brownish plumage, a rounded head, and a distinctive ""toot-toot-toot"" call",Unknown,Brownish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,,,,,call,,
Black-throated Diver,United Kingdom,22-06-2003 09:55,"A medium-sized diving bird with a black-and-white plumage and a distinctive ""woo-woo-woo"" call",Unknown,Black and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diving,,,,black|white,,,,,,medium,,,,,,,,call,,
Red-legged Partridge,United Kingdom,28-08-2011 12:30,"A medium-sized gamebird with a brown plumage, a red bill, and a distinctive ""chuk-chuk-chuk"" call",Unknown,Brown and Red,,,,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,call,,
Black-footed Albatross,Pacific Ocean,16-06-2002 14:50,A large seabird with a black-and-white plumage and a distinctive hooked bill,Unknown,Black and White,,,,,,hooked,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,large,,,,,,,,,,
Yellow-billed Loon,United States,28-04-2010 16:15,A large diving bird with a black-and-white plumage and a distinctive yellow bill,Unknown,"Black, White, and Yellow",,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,diving,,,,black|white,,,,,,large,,,,,,,,,,
Mountain Quail,United States,05-08-2003 09:55,A medium-sized quail with a mottled brown plumage and a distinctive topknot,Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,brown,,mottled,,,,medium,,,,,,,,,,
Yellow-headed Amazon,South America,10-07-2011 12:40,"A medium-sized parrot with a green plumage, a yellow head, and a distinctive squawking call",Unknown,Green and Yellow,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,,,,,,green,,,,,,medium,,,,,,,,call,,
Lesser Black-backed Gull,United Kingdom,22-05-2004 14:35,"A medium-sized gull with a grayish-black plumage, a white head, and a yellow bill",Unknown,"Grayish-black, White, and Yellow",,,,yellow,,,,,,,,,,,,,,,,,,white,,,,,,,,,,,black|gray,,,,,,medium,,,,,,,,,,
Broad-winged Hawk,United States,16-09-2010 16:55,"A medium-sized hawk with a brown plumage, a distinctive white belly band, and a high-pitched whistle call",Unknown,Brown and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,white,,,call,,
Common Raven,United States,25-08-2002 09:25,A large bird with a black plumage and a distinctive croaking call,Unknown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,large,,,,,,,,call,,
Snowy Owl,Canada,01-06-2011 11:40,"A large owl with a white plumage, a rounded head, and a distinctive ""hoo-hoo"" call",Unknown,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,large,,,,,,,,call,,
White-breasted Nuthatch,United States,10-08-2003 13:30,"A small songbird with a grayish-blue plumage, a white underbody, and a distinctive nasal call",Unknown,Grayish-blue and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue_gray,,,,,,small,,,,,white,,,call,,
American Redstart,United States,17-07-2010 16:55,A small warbler with a black-and-orange plumage,Male,Black and Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|orange,,,,,,small,,,,,,,,,,
Swainson's Hawk,United States,25-06-2002 09:55,"A medium-sized hawk with a brown plumage, a distinctive white throat, and a graceful soaring flight",Unknown,Brown and White,,,,,,,,,,,,,,,,,,,soaring,,,,,,,,,,,,,,brown,,,,,,medium,,,,white,,,,,,
Barn Swallow,United States,04-09-2011 12:30,"A medium-sized bird with a blue plumage, a rusty-red underbody, and a distinctive forked tail",Unknown,Blue and Rusty-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue,,,,,,medium,,,forked,,red|rust,,,,,
Cinnamon Teal,United States,16-05-2004 14:50,"A small duck with a colorful plumage, including cinnamon-brown, blue, and black",Male,"Cinnamon-brown, Blue, and Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|blue|brown|cinnamon,,,,,,small,,,,,,,,,,
Ring-billed Gull,United States,14-04-2010 16:15,"A medium-sized gull with a white plumage, a black ring around its bill, and a distinctive ""kow-kow"" call",Unknown,White and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,medium,,,,,,,,call,,
Western Meadowlark,United States,22-06-2002 09:55,A medium-sized blackbird with a yellow plumage and a distinctive flute-like song,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,medium,,,,,,,,song,,
Eastern Bluebird,United States,20-08-2011 12:40,A small thrush with a blue plumage,Male,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue,,,,,,small,,,,,,,,,,
Boreal Owl,United States,28-04-2004 14:35,"A small owl with a mottled brown plumage and a distinctive ""toot-toot-toot"" call",Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,mottled,,,,small,,,,,,,,call,,
Cattle Egret,United States,07-07-2010 16:55,"A medium-sized heron with a white plumage, a yellow bill, and a distinctive association with cattle",Unknown,White and Yellow,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,medium,,,,,,,,,,
Scarlet Ibis,South America,12-08-2003 09:55,"A medium-sized wading bird with a bright red plumage, a long curved bill, and a distinctive honking call",Unknown,Red,,,,,,curved,,,,,,,,,,,,,,,,,,,,,,,wading,,,,red,,,,,,medium,,,,,,,,call,,
Black-tailed Gull,Japan,01-05-2011 11:40,"A medium-sized gull with a white plumage, a black tail, and a distinctive ""kee-ow"" call",Unknown,White and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,medium,black,,,,,,,call,,
Rufous-tailed Hummingbird,Costa Rica,30-07-2002 13:30,A small hummingbird with a greenish-brown plumage and a distinctive reddish-brown tail,Male,Greenish-brown and Reddish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown|green,,,,,,small,brown|red,,,,,,,,,
Mountain Bluebird,United States,11-09-2010 16:55,A small thrush with a blue plumage,Male,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue,,,,,,small,,,,,,,,,,
Bullock's Oriole,United States,05-08-2003 09:25,A medium-sized songbird with a black-and-orange plumage,Male,Black and Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|orange,,,,,,medium,,,,,,,,,,
Black-bellied Plover,United States,11-06-2011 12:40,A medium-sized plover with a black-and-white plumage and a distinctive black belly patch,Unknown,Black and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,medium,,,,,black,,,,,
European Goldfinch,Europe,16-04-2004 14:35,"A small finch with a colorful plumage, including yellow, black, and red",Male,"Yellow, Black, and Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|red|yellow,,,,,,small,,,,,,,,,,
Wood Stork,United States,18-06-2010 16:55,"A large wading bird with a white plumage, a bald black head, and a distinctive bill shape",Unknown,White and Black,,,,,,,,,,,,,,,,,,,,,,black,,,,,,,wading,,,,white,,,,,,large,,,,,,,,,,
Western Tanager,United States,30-08-2002 09:25,"A medium-sized songbird with a colorful plumage, including red, yellow, and black",Male,"Red, Yellow, and Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|red|yellow,,,,,,medium,,,,,,,,,,
Blue Jay,United States,22-09-2011 11:40,"A medium-sized bird with a blue plumage, a distinctive crest, and a loud, varied song",Unknown,Blue,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,blue,,,,,,medium,,,,,,,,song,,
White-faced Ibis,United States,16-06-2003 13:30,"A medium-sized wading bird with a dark plumage, a white face, and a distinctive curved bill",Unknown,Dark and White,,,,,,curved,,,,,,,,,,,white,,,,,,,,,,,,wading,,,,,,,,,,medium,,,,,,,,,,
Hooded Warbler,United States,08-08-2010 16:55,A small warbler with a black-and-yellow plumage,Male,Black and Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|yellow,,,,,,small,,,,,,,,,,
Clark's Grebe,United States,22-05-2002 09:55,"A medium-sized waterbird with a black-and-white plumage, a distinctive yellow bill, and a courtship dance display",Unknown,"Black, White, and Yellow",,,courtship_display,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,medium,,,,,,,,,,
Magnificent Frigatebird,United States,12-07-2011 12:40,"A large seabird with a black plumage, a distinctive forked tail, and a balloon-like throat pouch",Unknown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,large,,,forked,,,,,,,
Black Vulture,United States,24-08-2004 14:35,"A large bird of prey with a black plumage, a bald head, and a scavenging behavior",Unknown,Black,,,scavenging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,large,,,,,,,,,,
Chestnut-sided Warbler,United States,20-10-2010 16:55,A small warbler with a yellow plumage and distinctive chestnut streaks,Male,Yellow and Chestnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,streaked,,,,small,,,,,,,,,,
Gray Catbird,United States,25-07-2002 09:25,A medium-sized songbird with a gray plumage and a distinctive cat-like call,Unknown,Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray,,,,,,medium,,,,,,,,call,,
Roseate Spoonbill,United States,03-06-2011 11:40,"A large wading bird with a pink plumage, a distinctive spoon-shaped bill, and a graceful flight",Unknown,Pink,,,,,,spoon,,,,,,,,,,,,,,,,,,,,,,,wading,,,,pink,,,,,,large,,,,,,,,,,
Palm Warbler,United States,20-08-2003 13:30,"A small warbler with a brownish plumage, a yellow underbody, and a distinctive tail-wagging behavior",Unknown,Brownish and Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,,yellow,,,,,
Yellow-crowned Night Heron,United States,21-09-2010 16:55,"A medium-sized heron with a gray plumage, a distinctive yellow crown, and a crepuscular behavior",Unknown,Gray and Yellow,crepuscular,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,gray,,,,,,medium,,,,,,,,,,
Red Knot,United States,30-05-2002 09:55,"A medium-sized sandpiper with a reddish-brown plumage and a distinctive ""krrooo"" call",Unknown,Reddish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown|red,,,,,,medium,,,,,,,,call,,
Rufous Hummingbird,United States,10-07-2011 12:40,A small hummingbird with a greenish-brown plumage and a distinctive reddish-orange throat,Male,Greenish-brown and Reddish-orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown|green,,,,,,small,,,,orange|red,,,,,,
Least Tern,United States,28-04-2004 14:35,"A small tern with a white plumage, a distinctive black cap, and a swift, hovering flight",Unknown,White and Black,,,,,,,,,black,,,,,,,,,,hovering,,,,,,,,,,,,,,white,,,,,,small,,,,,,,,,,
European Robin,United Kingdom,16-06-2010 16:55,A small bird with a grayish-brown plumage and a distinctive red breast,Male,Grayish-brown and Red,,,,,,,,red,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,small,,,,,,,,,,
American White Ibis,United States,10-08-2002 09:55,"A medium-sized wading bird with a white plumage, a distinctive curved bill, and a graceful flight",Unknown,White,,,,,,curved,,,,,,,,,,,,,,,,,,,,,,,wading,,,,white,,,,,,medium,,,,,,,,,,
Cerulean Warbler,United States,03-09-2011 12:10,A small warbler with a blue plumage,Male,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue,,,,,,small,,,,,,,,,,
Boreal Chickadee,United States,16-05-2003 13:30,"A small songbird with a gray plumage, a distinctive black cap, and a buzzy ""dee-dee-dee"" call",Unknown,Gray and Black,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,gray,,,,,,small,,,,,,,,call,,
Black-capped Petrel,Atlantic Ocean,20-07-2010 16:55,"A medium-sized seabird with a black plumage, a distinctive white cap, and a critically endangered status",Unknown,Black and White,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,,,
Western Grebe,United States,22-06-2002 09:55,"A medium-sized waterbird with a black-and-white plumage, a distinctive red eye, and a courtship dance display",Unknown,"Black, White, and Red",,,courtship_display,,,,,,,,,,,,,red,,,,,,,,,,,,,,,,,black|white,,,,,,medium,,,,,,,,,,
Solitary Sandpiper,United States,01-08-2011 12:30,A small sandpiper with a mottled brown plumage and a distinctive solitary behavior,Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,mottled,,,,small,,,,,,,,,,
Elegant Tern,United States,12-06-2003 14:35,"A medium-sized tern with a white plumage, a black cap, and a distinctive ""keer"" call",Unknown,White and Black,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,medium,,,,,,,,call,,
Lark Sparrow,United States,11-09-2010 16:55,"A medium-sized sparrow with a colorful plumage, including brown, black, and white",Male,"Brown, Black, and White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|brown|white,,,,,,medium,,,,,,,,,,
Yellow-breasted Chat,United States,16-06-2002 09:55,A medium-sized songbird with a yellow plumage and a distinctive varied song,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,medium,,,,,,,,song,,
Bridled Tern,Pacific Ocean,01-05-2011 12:40,"A medium-sized tern with a white plumage, a distinctive black cap and eyeline, and a graceful flight",Unknown,White and Black,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,medium,,,,,,,,,,
Ruby-throated Hummingbird,United States,30-04-2004 14:35,"A small hummingbird with a green plumage, a distinctive ruby-red throat",Male,Green and Ruby-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,small,,,,red,,,,,,
Veery,United States,23-08-2010 16:55,"A medium-sized thrush with a brownish plumage and a melodious, flute-like song",Unknown,Brownish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,song,,
King Eider,United States,23-05-2002 09:25,"A large diving duck with a colorful plumage, including black, white, and orange",Male,"Black, White, and Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,diving,,,,black|orange|white,,,,,,large,,,,,,,,,,
Glaucous-winged Gull,United States,06-09-2011 11:40,"A large gull with a white plumage, a distinctive gray wing, and a raucous ""kraa"" call",Unknown,White and Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,large,,,,,,,,call,gray,
Purple Martin,United States,14-07-2003 13:30,A medium-sized bird with a purple-blue plumage,Male,Purple-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue|purple,,,,,,medium,,,,,,,,,,
Western Kingbird,United States,18-05-2010 16:55,"A medium-sized bird with a grayish plumage, a distinctive yellow belly, and a habit of perching on fences",Unknown,Grayish and Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray,,,,,,medium,,,,,yellow,,,,,
Bar-tailed Godwit,United States,19-06-2002 09:55,"A large wading bird with a mottled brown plumage, a distinctive long bill, and a long-distance migratory behavior",Unknown,Brown,,,,,long,,,,,,,,,,,,,,,,,,,,,,,,wading,,,,brown,,mottled,,,,large,,,,,,,,,,
Northern Shoveler,United States,25-08-2011 12:10,"A medium-sized duck with a colorful plumage, including green, white, and rusty-brown",Male,"Green, White, and Rusty-brown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown|green|rust|white,,,,,,medium,,,,,,,,,,
Lark Bunting,United States,18-04-2004 14:35,A medium-sized bunting with a black-and-white plumage,Male,Black and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,medium,,,,,,,,,,
Dunlin,United States,24-07-2010 16:55,"A small sandpiper with a mottled brown plumage and a distinctive ""krrrr"" call",Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,mottled,,,,small,,,,,,,,call,,
Carolina Chickadee,United States,06-08-2002 09:55,A small songbird with a gray plumage and a distinctive black cap,Unknown,Gray and Black,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,gray,,,,,,small,,,,,,,,,,
Glossy Ibis,United States,02-05-2011 12:40,A medium-sized wading bird with a dark plumage and a distinctive curved bill,Unknown,Dark,,,,,,curved,,,,,,,,,,,,,,,,,,,,,,,wading,,,,,,,,,,medium,,,,,,,,,,
Peregrine Falcon,United States,17-08-2003 14:35,"A medium-sized falcon with a dark plumage, a distinctive black ""helmet,"" and a high-speed stoop hunting behavior",Unknown,Dark and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
Boat-tailed Grackle,United States,20-10-2010 16:55,"A medium-sized blackbird with a black plumage, a long, keel-shaped tail, and a distinctive ""chak-chak"" call",Unknown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,call,,
