species,location,time,description of bird,sex,feather color,,,,,,
Rufous-winged Sparrow,United States,04-06-2010 14:35,A small sparrow with a grayish-brown plumage and distinctive rufous wing feathers,Unknown,Grayish-brown and Rufous,,,,,,
Sulphur-crested Cockatoo,Australia,11-06-2003 16:55,A large parrot with a white plumage, a distinctive sulphur-yellow crest, and a loud screeching call,Unknown,White and Sulphur-yellow,,,,
Yellow-bellied Sapsucker,United States,01-08-2011 09:25,A medium-sized woodpecker with a black-and-white plumage, a bright yellow belly, and a distinctive drumming sound,Unknown,Black, White, and Yellow,,
Spotted Owl,United States,12-06-2002 11:40,A medium-sized owl with a mottled brown plumage and distinctive spots,Unknown,Brown and Spotted,,,,,,
Tricolored Heron,United States,03-07-2010 13:55,A medium-sized heron with a grayish-blue plumage, a white underbody, and a distinctive tri-colored neck,Unknown,Grayish-blue, White, and Tri-colored,,
Ruby-crowned Kinglet,United States,01-10-2003 16:15,A small bird with a grayish-green plumage, a distinctive ruby-red crown, and a high-pitched song,Unknown,Grayish-green and Ruby-red,,,,
Yellow-throated Vireo,United States,23-04-2011 09:55,"A small songbird with a yellow plumage and a distinctive ""weet-weet-weet"" call,Male,Yellow",Male,Yellow,,,,,,
Macaroni Penguin,Antarctica,08-07-2002 12:30,A medium-sized penguin with a black-and-white plumage and distinctive yellow crests,Unknown,Black, White, and Yellow,,,,
Crimson Rosella,Australia,15-09-2010 14:50,A medium-sized parrot with a colorful plumage, including red, blue, and black,Male,Red, Blue, and Black,
White-throated Dipper,United Kingdom,20-12-2003 09:45,A small bird with a brown plumage, a white throat, and a distinctive bobbing motion,Unknown,Brown and White,,,,
Scarlet Tanager,United States,05-06-2015 11:10,A medium-sized songbird with a bright red plumage,Male,Red,,,,,,
American White Pelican,United States,08-08-2002 13:30,A large waterbird with a white plumage, a distinctive pouched bill, and a wingspan,Unknown,White,,,,
Greater Painted-Snipe,Australia,27-05-2011 15:55,A small wading bird with a brownish plumage and a distinctive paint-like pattern,Male,Brownish,,,,,,
Ferruginous Hawk,United States,01-07-2003 09:55,A large hawk with a rusty-brown plumage, a white underbody, and a broad wingspan,Unknown,Rusty-brown and White,,,,
Chestnut Munia,India,18-10-2010 12:40,A small finch with a brown plumage and a distinctive chestnut crown,Male,Brown and Chestnut,,,,,,
Harlequin Duck,Canada,26-12-2002 14:35,A small diving duck with a colorful plumage, including blue, white, and chestnut,Male,Blue, White, and Chestnut,
Snowy-crowned Tern,United States,06-07-2011 16:55,A small tern with a white plumage and a distinctive black cap,Unknown,White and Black,,,,,,
Blue-footed Booby,Galapagos Islands,02-05-2010 09:25,A large seabird with a brownish plumage, a distinctive blue feet, and a courtship dance,Unknown,Brownish and Blue,,,,
Scaled Quail,United States,13-08-2003 11:40,A small quail with a mottled brown plumage and distinctive scaly pattern,Unknown,Brown and Scaly,,,,,,
Red-tailed Tropicbird,Galapagos Islands,21-10-2010 14:50,A medium-sized seabird with a white plumage, a red tail, and a long, slender bill,Unknown,White and Red,,,
Gray-crowned Rosy-Finch,United States,04-11-2002 16:15,A small finch with a grayish-brown plumage and a distinctive rosy-colored crown,Unknown,Grayish-brown and Rosy,,,,,,
Yellow-rumped Warbler,United States,09-04-2010 09:55,A small warbler with a grayish plumage, a yellow rump patch," and a distinctive ""chek"" call,Unknown,Grayish and Yellow",Unknown,Grayish and Yellow,,,,
Black Guillemot,United Kingdom,16-06-2003 12:30,A medium-sized seabird with a black plumage, a white wing patch, and bright red feet,Unknown,Black, White, and Red,,
Olive-sided Flycatcher,United States,10-08-2011 14:55,"A small songbird with a grayish-brown plumage and a distinctive ""quick-three-beers"" call,Unknown,Grayish-brown",Unknown,Grayish-brown,,,,,,
Lilac-breasted Roller,Africa,14-09-2002 16:30,A medium-sized bird with a colorful plumage, including blue, green, and lilac,Unknown,Blue, Green, and Lilac,
Eastern Screech-Owl,United States,06-04-2010 09:45,A small owl with a mottled gray plumage, a distinctive ear tufts, and a haunting trilling call,Unknown,Gray,,,,
Northern Gannet,United Kingdom,23-07-2003 11:10,A large seabird with a white plumage, a yellow head, and a distinctive plunge-diving behavior,Unknown,White and Yellow,,,,
White Wagtail,United Kingdom,18-04-2015 13:30,A small bird with a gray plumage, a white underbody, and a distinctive wagging tail,Unknown,Gray and White,,,,
Bewick's Wren,United States,22-06-2002 15:50,A small wren with a brownish plumage and a distinctive song,Unknown,Brownish,,,,,,
White-winged Dove,United States,27-09-2011 09:25,A medium-sized dove with a brownish-gray plumage and distinctive white wing patches,Unknown,Brownish-gray and White,,,,,,
American Avocet,United States,20-05-2003 12:40,A medium-sized wading bird with a black-and-white plumage, a distinctive upturned bill, and long, slender legs,Unknown,Black and White,,,
Purple Gallinule,United States,29-08-2010 14:35,A medium-sized waterbird with a colorful plumage, including purple, green, and blue,Unknown,Purple, Green, and Blue,
Chestnut-eared Aracari,South America,10-09-2002 16:55,A medium-sized bird with a black plumage, a distinctive chestnut ear patch, and a colorful bill,Unknown,Black, Chestnut, and Colorful,,
Northern Flicker,United States,03-06-2011 09:55,A medium-sized woodpecker with a brownish-plumage, a distinctive black crescent on its chest," and a loud ""wick-a-wick-a-wick-a"" call,Unknown,Brownish and Black",Unknown,Brownish and Black,,,,
Mountain Plover,United States,17-09-2003 12:30,A medium-sized plover with a mottled brown plumage and a distinctive white underbody,Unknown,Brown and White,,,,,,
Horned Lark,United States,16-06-2010 14:50,A small songbird with a brownish plumage, a distinctive black mask, and a horn-like projection on its head,Unknown,Brown and Black,,,,
Common Merganser,United States,08-08-2002 16:15,A large diving duck with a black-and-white plumage, a slender bill, and a crested head,Male,Black and White,,,,
Red-legged Seriema,South America,24-10-2010 09:55,A large terrestrial bird with a grayish-brown plumage, long legs, and a distinctive red bill,Unknown,Grayish-brown and Red,,,,
European Starling,United Kingdom,27-12-2003 11:40,A medium-sized bird with a black plumage, a speckled appearance, and a melodious song,Unknown,Black and Speckled,,,,
Black-throated Sparrow,United States,01-08-2011 13:55,A small sparrow with a grayish-brown plumage and a black throat,Male,Grayish-brown and Black,,,,,,
Red-shouldered Hawk,United States,26-06-2002 16:15,A medium-sized hawk with a brown plumage, a distinctive reddish-brown shoulder patch, and a piercing call,Unknown,Brown and Reddish-brown,,,,
Greater Sage-Grouse,United States,17-09-2010 09:55,A large grouse with a mottled grayish-brown plumage, a distinctive chest, and a booming display during courtship,Unknown,Grayish-brown and Chest,,,,
Reddish Egret,United States,14-07-2003 12:10,A medium-sized heron with a grayish plumage, a rusty-red head, and a distinctive dancing behavior,Unknown,Grayish and Rusty-red,,,,
Wood Duck,United States,11-05-2015 14:35,A medium-sized duck with a colorful plumage, including iridescent green, purple, and white,Male,Green, Purple, and White,
Barn Owl,United Kingdom,10-10-2002 16:55,A medium-sized owl with a pale plumage, a heart-shaped face, and a silent flight,Unknown,Pale,,,,
Yellow-throated Warbler,United States,19-06-2010 09:25,A small warbler with a grayish plumage, a yellow throat, and a distinctive song,Unknown,Grayish and Yellow,,,,
Gilded Flicker,United States,14-05-2003 11:10,A medium-sized woodpecker with a yellowish-brown plumage, a black crescent on its chest," and a distinctive ""wick-a-wick-a-wick-a"" call,Unknown,Yellowish-brown and Black",Unknown,Yellowish-brown and Black,,,,
Mallard,United States,22-07-2011 13:30,A medium-sized duck with a colorful plumage, including iridescent green, blue, and white,Male,Green, Blue, and White,
Masked Booby,Galapagos Islands,29-08-2002 15:50,A large seabird with a white plumage, a black mask, and a distinctive plunge-diving behavior,Unknown,White and Black,,,,
Common Loon,United States,10-11-2010 09:55,A large diving bird with a black-and-white plumage, a distinctive necklace-like pattern on its neck, and a haunting call,Unknown,Black and White,,,,
Yellow-headed Blackbird,United States,26-04-2003 12:30,A medium-sized blackbird with a black plumage, a bright yellow head," and a distinctive ""konk-la-ree"" call,Unknown,Black and Yellow",Unknown,Black and Yellow,,,,
Collared Pratincole,Europe,09-07-2011 14:55,A medium-sized wading bird with a brown plumage, a distinctive black collar, and a graceful flight,Unknown,Brown and Black,,,,
Yellow-chevroned Parakeet,Australia,22-06-2002 09:55,A medium-sized parakeet with a green plumage and distinctive yellow chevrons,Male,Green and Yellow,,,,,,
Red-crowned Crane,Japan,15-08-2005 09:55,A large crane with a white plumage, a distinctive red crown, and a graceful dance display,Unknown,White and Red,,,,
Black Skimmer,United States,10-06-2001 12:40,A medium-sized bird with a black-and-white plumage, a distinctive orange bill, and a unique feeding behavior,Unknown,Black, White, and Orange,,
Red-billed Oxpecker,Africa,22-05-2012 14:10,A small bird with a brown plumage, a red bill, and a symbiotic relationship with large mammals,Unknown,Brown and Red,,,,
Golden-crowned Kinglet,United States,05-09-2004 16:15,A small bird with a grayish-green plumage, a distinctive golden crown, and a high-pitched song,Unknown,Grayish-green and Golden,,,,
Wandering Albatross,Southern Ocean,30-11-2003 09:45,A large seabird with a white plumage, a long wingspan, and a graceful flight,Unknown,White,,,,
Yellow-billed Cuckoo,United States,17-06-2019 11:40,A medium-sized bird with a brownish plumage, a distinctive yellow bill," and a distinctive ""coo-coo-coo"" call,Unknown,Brownish and Yellow",Unknown,Brownish and Yellow,,,,
Crested Caracara,United States,23-08-2002 13:55,A medium-sized bird of prey with a black-and-white plumage, a distinctive crest, and a scavenging behavior,Unknown,Black and White,,,,
White-crowned Pigeon,United States,15-04-2004 09:55,A medium-sized pigeon with a gray plumage, a white crown," and a distinctive ""coo-woo"" call,Unknown,Gray and White",Unknown,Gray and White,,,,
Little Egret,United Kingdom,12-08-2011 12:10,A small heron with a white plumage, a black bill," and a distinctive ""chattering"" call,Unknown,White and Black",Unknown,White and Black,,,,
Baltimore Oriole,United States,28-05-2003 14:35,A medium-sized songbird with a black-and-orange plumage,Male,Black and Orange,,,,,,
American Crow,United States,05-09-2010 16:55,A medium-sized bird with a black plumage and a distinctive cawing call,Unknown,Black,,,,,,
Black-headed Gull,United Kingdom,30-07-2002 09:25,A small gull with a black head, a white body, and a red bill,Unknown,Black, White, and Red,,
Great Kiskadee,Central America,15-05-2011 11:40,A medium-sized bird with a brownish plumage, a yellow belly," and a distinctive ""kis-ka-dee"" call,Unknown,Brownish and Yellow",Unknown,Brownish and Yellow,,,,
Alder Flycatcher,United States,18-04-2004 13:30,"A small songbird with a brownish plumage and a distinctive ""fee-bee-o"" call,Unknown,Brownish",Unknown,Brownish,,,,,,
Northern Saw-whet Owl,United States,20-07-2010 16:55,A small owl with a brownish plumage, a rounded head," and a distinctive ""toot-toot-toot"" call,Unknown,Brownish",Unknown,Brownish,,,,
Black-throated Diver,United Kingdom,22-06-2003 09:55,"A medium-sized diving bird with a black-and-white plumage and a distinctive ""woo-woo-woo"" call,Unknown,Black and White",Unknown,Black and White,,,,,,
Red-legged Partridge,United Kingdom,28-08-2011 12:30,A medium-sized gamebird with a brown plumage, a red bill," and a distinctive ""chuk-chuk-chuk"" call,Unknown,Brown and Red",Unknown,Brown and Red,,,,
Black-footed Albatross,Pacific Ocean,16-06-2002 14:50,A large seabird with a black-and-white plumage and a distinctive hooked bill,Unknown,Black and White,,,,,,
Yellow-billed Loon,United States,28-04-2010 16:15,A large diving bird with a black-and-white plumage and a distinctive yellow bill,Unknown,Black, White, and Yellow,,,,
Mountain Quail,United States,05-08-2003 09:55,A medium-sized quail with a mottled brown plumage and a distinctive topknot,Unknown,Brown,,,,,,
Yellow-headed Amazon,South America,10-07-2011 12:40,A medium-sized parrot with a green plumage, a yellow head, and a distinctive squawking call,Unknown,Green and Yellow,,,,
Lesser Black-backed Gull,United Kingdom,22-05-2004 14:35,A medium-sized gull with a grayish-black plumage, a white head, and a yellow bill,Unknown,Grayish-black, White, and Yellow,,
Broad-winged Hawk,United States,16-09-2010 16:55,A medium-sized hawk with a brown plumage, a distinctive white belly band, and a high-pitched whistle call,Unknown,Brown and White,,,,
Common Raven,United States,25-08-2002 09:25,A large bird with a black plumage and a distinctive croaking call,Unknown,Black,,,,,,
Snowy Owl,Canada,01-06-2011 11:40,A large owl with a white plumage, a rounded head," and a distinctive ""hoo-hoo"" call,Unknown,White",Unknown,White,,,,
White-breasted Nuthatch,United States,10-08-2003 13:30,A small songbird with a grayish-blue plumage, a white underbody, and a distinctive nasal call,Unknown,Grayish-blue and White,,,,
American Redstart,United States,17-07-2010 16:55,A small warbler with a black-and-orange plumage,Male,Black and Orange,,,,,,
Swainson's Hawk,United States,25-06-2002 09:55,A medium-sized hawk with a brown plumage, a distinctive white throat, and a graceful soaring flight,Unknown,Brown and White,,,,
Barn Swallow,United States,04-09-2011 12:30,A medium-sized bird with a blue plumage, a rusty-red underbody, and a distinctive forked tail,Unknown,Blue and Rusty-red,,,,
Cinnamon Teal,United States,16-05-2004 14:50,A small duck with a colorful plumage, including cinnamon-brown, blue, and black,Male,Cinnamon-brown, Blue, and Black,
Ring-billed Gull,United States,14-04-2010 16:15,A medium-sized gull with a white plumage, a black ring around its bill," and a distinctive ""kow-kow"" call,Unknown,White and Black",Unknown,White and Black,,,,
Western Meadowlark,United States,22-06-2002 09:55,A medium-sized blackbird with a yellow plumage and a distinctive flute-like song,Male,Yellow,,,,,,
Eastern Bluebird,United States,20-08-2011 12:40,A small thrush with a blue plumage,Male,Blue,,,,,,
Boreal Owl,United States,28-04-2004 14:35,"A small owl with a mottled brown plumage and a distinctive ""toot-toot-toot"" call,Unknown,Brown",Unknown,Brown,,,,,,
Cattle Egret,United States,07-07-2010 16:55,A medium-sized heron with a white plumage, a yellow bill, and a distinctive association with cattle,Unknown,White and Yellow,,,,
Scarlet Ibis,South America,12-08-2003 09:55,A medium-sized wading bird with a bright red plumage, a long curved bill, and a distinctive honking call,Unknown,Red,,,,
Black-tailed Gull,Japan,01-05-2011 11:40,A medium-sized gull with a white plumage, a black tail," and a distinctive ""kee-ow"" call,Unknown,White and Black",Unknown,White and Black,,,,
Rufous-tailed Hummingbird,Costa Rica,30-07-2002 13:30,A small hummingbird with a greenish-brown plumage and a distinctive reddish-brown tail,Male,Greenish-brown and Reddish-brown,,,,,,
Mountain Bluebird,United States,11-09-2010 16:55,A small thrush with a blue plumage,Male,Blue,,,,,,
Bullock's Oriole,United States,05-08-2003 09:25,A medium-sized songbird with a black-and-orange plumage,Male,Black and Orange,,,,,,
Black-bellied Plover,United States,11-06-2011 12:40,A medium-sized plover with a black-and-white plumage and a distinctive black belly patch,Unknown,Black and White,,,,,,
European Goldfinch,Europe,16-04-2004 14:35,A small finch with a colorful plumage, including yellow, black, and red,Male,Yellow, Black, and Red,
Wood Stork,United States,18-06-2010 16:55,A large wading bird with a white plumage, a bald black head, and a distinctive bill shape,Unknown,White and Black,,,,
Western Tanager,United States,30-08-2002 09:25,A medium-sized songbird with a colorful plumage, including red, yellow, and black,Male,Red, Yellow, and Black,
Blue Jay,United States,22-09-2011 11:40,A medium-sized bird with a blue plumage, a distinctive crest, and a loud, varied song,Unknown,Blue,,,
White-faced Ibis,United States,16-06-2003 13:30,A medium-sized wading bird with a dark plumage, a white face, and a distinctive curved bill,Unknown,Dark and White,,,,
Hooded Warbler,United States,08-08-2010 16:55,A small warbler with a black-and-yellow plumage,Male,Black and Yellow,,,,,,
Clark's Grebe,United States,22-05-2002 09:55,A medium-sized waterbird with a black-and-white plumage, a distinctive yellow bill, and a courtship dance display,Unknown,Black, White, and Yellow,,
Magnificent Frigatebird,United States,12-07-2011 12:40,A large seabird with a black plumage, a distinctive forked tail, and a balloon-like throat pouch,Unknown,Black,,,,
Black Vulture,United States,24-08-2004 14:35,A large bird of prey with a black plumage, a bald head, and a scavenging behavior,Unknown,Black,,,,
Chestnut-sided Warbler,United States,20-10-2010 16:55,A small warbler with a yellow plumage and distinctive chestnut streaks,Male,Yellow and Chestnut,,,,,,
Gray Catbird,United States,25-07-2002 09:25,A medium-sized songbird with a gray plumage and a distinctive cat-like call,Unknown,Gray,,,,,,
Roseate Spoonbill,United States,03-06-2011 11:40,A large wading bird with a pink plumage, a distinctive spoon-shaped bill, and a graceful flight,Unknown,Pink,,,,
Palm Warbler,United States,20-08-2003 13:30,A small warbler with a brownish plumage, a yellow underbody, and a distinctive tail-wagging behavior,Unknown,Brownish and Yellow,,,,
Yellow-crowned Night Heron,United States,21-09-2010 16:55,A medium-sized heron with a gray plumage, a distinctive yellow crown, and a crepuscular behavior,Unknown,Gray and Yellow,,,,
Red Knot,United States,30-05-2002 09:55,"A medium-sized sandpiper with a reddish-brown plumage and a distinctive ""krrooo"" call,Unknown,Reddish-brown",Unknown,Reddish-brown,,,,,,
Rufous Hummingbird,United States,10-07-2011 12:40,A small hummingbird with a greenish-brown plumage and a distinctive reddish-orange throat,Male,Greenish-brown and Reddish-orange,,,,,,
Least Tern,United States,28-04-2004 14:35,A small tern with a white plumage, a distinctive black cap, and a swift, hovering flight,Unknown,White and Black,,,
European Robin,United Kingdom,16-06-2010 16:55,A small bird with a grayish-brown plumage and a distinctive red breast,Male,Grayish-brown and Red,,,,,,
American White Ibis,United States,10-08-2002 09:55,A medium-sized wading bird with a white plumage, a distinctive curved bill, and a graceful flight,Unknown,White,,,,
Cerulean Warbler,United States,03-09-2011 12:10,A small warbler with a blue plumage,Male,Blue,,,,,,
Boreal Chickadee,United States,16-05-2003 13:30,A small songbird with a gray plumage, a distinctive black cap," and a buzzy ""dee-dee-dee"" call,Unknown,Gray and Black",Unknown,Gray and Black,,,,
Black-capped Petrel,Atlantic Ocean,20-07-2010 16:55,A medium-sized seabird with a black plumage, a distinctive white cap, and a critically endangered status,Unknown,Black and White,,,,
Western Grebe,United States,22-06-2002 09:55,A medium-sized waterbird with a black-and-white plumage, a distinctive red eye, and a courtship dance display,Unknown,Black, White, and Red,,
Solitary Sandpiper,United States,01-08-2011 12:30,A small sandpiper with a mottled brown plumage and a distinctive solitary behavior,Unknown,Brown,,,,,,
Elegant Tern,United States,12-06-2003 14:35,A medium-sized tern with a white plumage, a black cap," and a distinctive ""keer"" call,Unknown,White and Black",Unknown,White and Black,,,,
Lark Sparrow,United States,11-09-2010 16:55,A medium-sized sparrow with a colorful plumage, including brown, black, and white,Male,Brown, Black, and White,
Yellow-breasted Chat,United States,16-06-2002 09:55,A medium-sized songbird with a yellow plumage and a distinctive varied song,Male,Yellow,,,,,,
Bridled Tern,Pacific Ocean,01-05-2011 12:40,A medium-sized tern with a white plumage, a distinctive black cap and eyeline, and a graceful flight,Unknown,White and Black,,,,
Ruby-throated Hummingbird,United States,30-04-2004 14:35,A small hummingbird with a green plumage, a distinctive ruby-red throat,Male,Green and Ruby-red,,,,,
Veery,United States,23-08-2010 16:55,A medium-sized thrush with a brownish plumage and a melodious, flute-like song,Unknown,Brownish,,,,,
King Eider,United States,23-05-2002 09:25,A large diving duck with a colorful plumage, including black, white, and orange,Male,Black, White, and Orange,
Glaucous-winged Gull,United States,06-09-2011 11:40,A large gull with a white plumage, a distinctive gray wing," and a raucous ""kraa"" call,Unknown,White and Gray",Unknown,White and Gray,,,,
Purple Martin,United States,14-07-2003 13:30,A medium-sized bird with a purple-blue plumage,Male,Purple-blue,,,,,,
Western Kingbird,United States,18-05-2010 16:55,A medium-sized bird with a grayish plumage, a distinctive yellow belly, and a habit of perching on fences,Unknown,Grayish and Yellow,,,,
Bar-tailed Godwit,United States,19-06-2002 09:55,A large wading bird with a mottled brown plumage, a distinctive long bill, and a long-distance migratory behavior,Unknown,Brown,,,,
Northern Shoveler,United States,25-08-2011 12:10,A medium-sized duck with a colorful plumage, including green, white, and rusty-brown,Male,Green, White, and Rusty-brown,
Lark Bunting,United States,18-04-2004 14:35,A medium-sized bunting with a black-and-white plumage,Male,Black and White,,,,,,
Dunlin,United States,24-07-2010 16:55,"A small sandpiper with a mottled brown plumage and a distinctive ""krrrr"" call,Unknown,Brown",Unknown,Brown,,,,,,
Carolina Chickadee,United States,06-08-2002 09:55,A small songbird with a gray plumage and a distinctive black cap,Unknown,Gray and Black,,,,,,
Glossy Ibis,United States,02-05-2011 12:40,A medium-sized wading bird with a dark plumage and a distinctive curved bill,Unknown,Dark,,,,,,
Peregrine Falcon,United States,17-08-2003 14:35,A medium-sized falcon with a dark plumage," a distinctive black ""helmet,"" and a high-speed stoop hunting behavior,Unknown,Dark and Black"," and a high-speed stoop hunting behavior,Unknown,Dark and Black",,,,,,
Boat-tailed Grackle,United States,20-10-2010 16:55,A medium-sized blackbird with a black plumage, a long, keel-shaped tail," and a distinctive ""chak-chak"" call,Unknown,Black",Unknown,Black,,,
Sora,United States,22-06-2002 09:55,"A small rail with a brown plumage and a distinctive ""whinny"" call,Unknown,Brown",Unknown,Brown,,,,,,
Black Guillemot,United States,08-08-2011 12:30,A small seabird with a black plumage, a white wing patch, and bright red feet,Unknown,Black, White, and Red,,
Indigo Bunting,United States,26-04-2004 14:35,A small finch with a colorful plumage, including deep blue and black,Male,Blue and Black,,,,,
Red-bellied Woodpecker,United States,30-06-2010 16:55,A medium-sized woodpecker with a grayish-brown plumage, a red crown," and a distinctive ""churr"" call,Unknown,Grayish-brown and Red",Unknown,Grayish-brown and Red,,,,
Semipalmated Plover,United States,11-08-2002 09:55,A small plover with a mottled brown plumage and partially webbed feet,Unknown,Brown,,,,,,
American Coot,United States,04-05-2011 12:30,A medium-sized waterbird with a dark plumage, a distinctive white bill, and a lobed feet,Unknown,Dark and White,,,,
Western Meadowlark,United States,12-07-2010 14:35,A medium-sized blackbird with a yellow plumage and a distinctive flute-like song,Male,Yellow,,,,,,
Hairy Woodpecker,United States,18-08-2003 16:55,A medium-sized woodpecker with a black-and-white plumage and a larger bill than its close relative, the Downy Woodpecker,Unknown,Black and White,,,,,
Least Flycatcher,United States,12-06-2011 09:25,"A small songbird with a grayish-brown plumage and a distinctive ""che-bek"" call,Unknown,Grayish-brown",Unknown,Grayish-brown,,,,,,
Western Scrub-Jay,United States,20-05-2002 11:40,"A medium-sized bird with a blue plumage and a distinctive ""ack-ack-ack"" call,Unknown,Blue",Unknown,Blue,,,,,,
Purple Finch,United States,16-07-2010 13:30,A small finch with a colorful plumage, including purple and pink,Male,Purple and Pink,,,,,
Least Bittern,United States,21-08-2003 16:55,"A small heron with a brown plumage and a distinctive ""coo-coo-coo"" call,Unknown,Brown",Unknown,Brown,,,,,,
Common Goldeneye,United States,16-04-2011 09:55,A medium-sized diving duck with a black-and-white plumage and a distinctive golden-yellow eye,Male,Black, White, and Golden-yellow,,,,
Gray Jay,United States,16-06-2002 12:40,"A medium-sized bird with a gray plumage and a distinctive ""whisper song,""Unknown,Gray","Unknown,Gray",,,,,,,
Northern Waterthrush,United States,24-08-2010 14:35,"A small warbler with a brownish plumage and a distinctive ""chip-chip-chip"" call,Unknown,Brownish",Unknown,Brownish,,,,,,
Red-winged Blackbird,United States,12-06-2003 16:55,A medium-sized blackbird with a black plumage and distinctive red shoulder patches,Male,Black and Red,,,,,,
Black-necked Stilt,United States,04-05-2011 09:25,A tall wading bird with a black-and-white plumage, long pink legs," and a distinctive ""kleep"" call,Unknown,Black, White, and Pink",Unknown,Black, White, and Pink,,
Prothonotary Warbler,United States,11-07-2010 11:40,A small warbler with a yellow plumage,Male,Yellow,,,,,,
American Pipit,United States,18-08-2002 13:30,"A medium-sized songbird with a brownish plumage and a distinctive ""tsip"" call,Unknown,Brownish",Unknown,Brownish,,,,,,
Spotted Sandpiper,United States,19-06-2011 16:55,A small sandpiper with a mottled brown plumage and a distinctive teetering behavior,Unknown,Brown,,,,,,
Green Heron,United States,23-08-2003 09:55,A medium-sized heron with a greenish plumage," a distinctive neck ""hunch,"" and a dagger-like bill,Unknown,Green"," and a dagger-like bill,Unknown,Green",,,,,,
Purple Gallinule,United States,01-09-2010 12:30,A medium-sized waterbird with a colorful plumage, including purple, green, and blue,Unknown,Purple, Green, and Blue,
Golden-winged Warbler,United States,23-05-2002 14:35,A small warbler with a grayish plumage, a distinctive yellow crown, and a buzzy song,Unknown,Grayish and Yellow,,,,
Least Sandpiper,United States,31-07-2011 16:55,"A small sandpiper with a mottled brown plumage and a distinctive ""peep"" call,Unknown,Brown",Unknown,Brown,,,,,,
Yellow-crowned Kinglet,United States,01-05-2010 09:55,A small bird with a grayish-green plumage and a distinctive yellow crown,Male,Grayish-green and Yellow,,,,,,
Brown Thrasher,United States,28-08-2003 11:40,A medium-sized songbird with a brown plumage and a distinctive repertoire of melodious songs,Unknown,Brown,,,,,,
Black-backed Woodpecker,United States,05-06-2011 13:30,A medium-sized woodpecker with a black plumage and a distinctive white back,Male,Black and White,,,,,,
Common Tern,United States,04-08-2010 16:55,A medium-sized tern with a white plumage, a distinctive black cap, and a graceful flight,Unknown,White and Black,,,,
Snow Bunting,United States,22-05-2002 09:55,"A medium-sized songbird with a white plumage and a distinctive ""tinkling"" call,Unknown,White",Unknown,White,,,,,,
Yellow-throated Vireo,United States,14-08-2011 12:30,"A small songbird with a yellowish plumage and a distinctive ""weer-weer-weer"" call,Unknown,Yellowish",Unknown,Yellowish,,,,,,
Belted Kingfisher,United States,25-06-2003 14:35,A medium-sized bird with a blue plumage, a distinctive crest, and a rattling call,Unknown,Blue,,,,
Red-breasted Nuthatch,United States,26-09-2010 16:55,"A small songbird with a blue-gray plumage and a distinctive ""yank-yank"" call,Unknown,Blue-gray",Unknown,Blue-gray,,,,,,
Lark Sparrow,United States,30-07-2002 09:25,A medium-sized sparrow with a colorful plumage, including brown, black, and white,Male,Brown, Black, and White,
Osprey,United States,06-09-2011 11:40,A large bird of prey with a dark plumage, a distinctive white head, and a habit of hunting fish,Unknown,Dark and White,,,,
Common Snipe,United Kingdom,24-05-2004 13:30,"A small wading bird with a mottled brown plumage and a distinctive ""scaap"" call,Unknown,Brown",Unknown,Brown,,,,,,
Painted Bunting,United States,12-07-2010 16:55,A small finch with a colorful plumage, including bright blue, green, and red,Male,Blue, Green, and Red,
American Tree Sparrow,United States,19-08-2002 09:55,A small sparrow with a brown plumage, a distinctive rusty cap, and a melodious song,Unknown,Brown and Rusty,,,,
Eastern Wood-Pewee,United States,19-06-2011 12:10,"A small flycatcher with a grayish-brown plumage and a distinctive ""pee-ah-wee"" call,Unknown,Grayish-brown",Unknown,Grayish-brown,,,,,,
Spotted Owl,United States,21-08-2010 14:35,A medium-sized owl with a brown plumage, a distinctive spotted pattern, and a haunting hooting call,Unknown,Brown and Spotted,,,,
Hooded Merganser,United States,05-06-2003 16:55,A small diving duck with a colorful plumage, including black, white, and rust,Male,Black, White, and Rust,
Wilson's Phalarope,United States,15-08-2011 09:55,A small sandpiper with a grayish-brown plumage, a distinctive white belly, and a unique spinning-foraging behavior,Unknown,Grayish-brown and White,,,,
Eastern Screech-Owl,United States,03-09-2010 12:30,"A small owl with a grayish plumage and a distinctive ""whinny"" call,Unknown,Grayish",Unknown,Grayish,,,,,,
Black-throated Blue Warbler,United States,11-07-2002 14:35,A small warbler with a blue plumage,Male,Blue,,,,,,
Ruby-crowned Kinglet,United States,18-05-2011 16:55,A small bird with a grayish-green plumage, a distinctive ruby-red crown, and a high-pitched song,Unknown,Grayish-green and Ruby-red,,,,
American Avocet,United States,22-07-2010 09:55,A medium-sized wading bird with a black-and-white plumage, long legs, and a distinctive upturned bill,Unknown,Black and White,,,,
Northern Cardinal,United States,26-08-2002 12:10,A medium-sized bird with a red plumage,Male,Red,,,,,,
White-winged Crossbill,United States,01-09-2011 14:35,A small finch with a colorful plumage, including red and white,Male,Red and White,,,,,
Clapper Rail,United States,07-05-2010 16:55,"A medium-sized rail with a mottled brown plumage and a distinctive ""clapper"" call,Unknown,Brown",Unknown,Brown,,,,,,
Mourning Warbler,United States,30-07-2002 09:55,A small warbler with a grayish-brown plumage and a distinctive mournful song,Unknown,Grayish-brown,,,,,,
White-eyed Vireo,United States,12-05-2011 12:30,A small songbird with a grayish-green plumage, a distinctive white eye ring, and a lively song,Unknown,Grayish-green and White,,,,
